,Industrials,Consumer Discretionary,Finance,Technology,Real Estate,Health Care,Miscellaneous,Telecommunications,Utilities,Consumer Staples,Energy,Basic Materials
389,11383.569436073303,3996024000.341516,18222.86635553837,8881.742960095406,6155.866782665253,79288.15417826176,310.8699975013733,677.955352306366,2870.286651611328,3048.9536080360413,3334.123031973839,521.3114964962006
390,11216.801841378212,5796022816.938668,18160.440294861794,8778.543869256973,6143.643508434296,77745.3854919672,309.0000042915344,674.8432424068451,2874.1555531024933,3042.826162338257,3297.1250507831573,528.3863209486008
391,11276.676131367683,7272023267.594342,18305.33524298668,8844.33792936802,6186.298834204674,79045.86152589321,311.22999715805054,683.0765085220337,2902.3177604675293,3091.6585495471954,3304.0138016939163,524.7349982261658
392,11178.892275214195,6210023096.529346,18236.548224925995,8857.333440899849,6180.802111625671,77278.51132154465,312.07999992370605,681.8110029697418,2897.07292675972,3086.5891304016113,3243.5625081062317,515.4685524702072
393,11321.93027317524,5796022863.459755,18271.383487939835,8915.835445642471,6148.719389081001,77320.51967155933,315.1399984359741,681.2943416833878,2884.107745409012,3071.4605305194855,3284.294902443886,530.2901095151901
394,11340.6098331213,6336023016.869092,18296.294812321663,8939.747077465057,6104.3625683784485,81120.44185221195,314.94000339508057,684.4026793241501,2855.806390285492,3030.5041382312775,3233.9561581611633,535.0688054561615
395,11330.860461592674,5490022805.480067,18285.106877565384,8950.987907767296,6161.0135152339935,80341.84191823006,311.22999906539917,681.8463400602341,2859.3469614982605,3054.198848962784,3211.6654151678085,534.9893101453781
396,11329.285535812378,4662022929.114816,18255.25217282772,8905.804540276527,6220.722490906715,81399.26837527752,312.799991607666,685.8729989528656,2855.7732179164886,3074.4369728565216,3259.430639386177,538.8502812385559
397,11262.271110773087,11898023517.063185,18201.189350008965,8951.153113603592,6239.088716387749,80928.08019518852,312.77000522613525,686.4999859333038,2843.404550552368,3054.7060000896454,3167.0794409513474,535.6766037940979
398,11140.1405595541,11250024503.388964,18083.956411600113,8818.606127142906,6140.7255964279175,80032.12772202492,305.8899965286255,673.5221667289734,2823.950516939163,3031.5854494571686,3178.2534893751144,536.1754304170609
399,11257.036603093147,10386023471.422466,18243.631663560867,8860.022654414177,6123.948064088821,81531.05773454905,310.3299984931946,677.439532160759,2811.6657292842865,3014.9377915859222,3255.882266521454,538.5081105232239
400,11270.24920797348,9540023278.641321,18243.505146741867,8887.79316329956,6119.277772903442,80205.93150657415,307.88999938964844,679.4059354066849,2814.5964658260345,3021.491494178772,3267.107210278511,540.9503240585327
401,11403.363336086273,10368024296.54021,18498.040305495262,8972.666041851044,6216.519031524658,81612.64685970545,311.61000204086304,674.9347913265228,2806.7284622192383,3037.6040325164795,3317.695692181587,537.2133820056915
402,11403.838658452034,9468024332.53233,18509.558184862137,8962.906203389168,6237.249447822571,88222.06198513508,313.10999631881714,672.7845305204391,2804.63317322731,3038.372010707855,3387.9787567853928,539.833743095398
403,11397.850956559181,9180024229.794245,18531.138364434242,8993.824182271957,6251.1283395290375,87945.17832058668,314.11000204086304,675.5534381866455,2804.1222932338715,3050.0339114665985,3377.107140302658,539.8079701662064
404,11370.809994220734,8622024104.18169,18452.143737912178,8943.043524861336,6240.016063690186,87314.06050735712,312.1700015068054,674.3808770179749,2804.478049993515,3058.149647951126,3333.876498937607,542.353010892868
405,11426.040917038918,8244023856.983694,18492.513899683952,8994.748888969421,6197.50047647953,87150.2964374423,312.5500020980835,672.5179960727692,2807.883303642273,3059.3427925109863,3380.9552787542343,543.311181306839
406,11355.95626604557,8244023769.779919,18481.23712003231,9013.026801943779,6239.307330131531,97097.6530405283,313.0199999809265,669.3361413478851,2812.458497285843,3064.6663868427277,3383.7570625543594,539.1204468011856
407,11493.244245171547,8694023784.861513,18595.47443151474,9094.231110930443,6262.0099177360535,95199.65130978823,315.84999561309814,670.0932519435883,2786.151081085205,3071.10005569458,3445.6869943141937,541.0689585208893
408,11413.481771826744,8226023834.682205,18532.349322080612,9013.184364438057,6202.200905203819,95383.10972177982,313.53000497817993,667.7415254116058,2744.648135662079,3050.644407272339,3453.979912996292,541.6432422399521
409,11383.247028946877,7974023688.862777,18523.2820854187,8976.653948187828,6176.96977686882,97339.03778147697,310.43000507354736,667.0303711891174,2773.384301185608,3051.307335138321,3478.833738565445,541.3006534576416
410,11466.862250566483,7866023480.811698,18600.43293941021,9040.115130066872,6176.439737081528,95131.39881664515,313.3099980354309,668.8918454647064,2807.7738704681396,3066.3888688087463,3517.646076321602,548.395898103714
